Sample_ID,sample_number,top_cm,age_yrBP,Pinus hap,Pinus dip,Pinus undiff,Picea,Abies,Pseudotsuga/Larix,Juniperus-type,Tsuga heterophylla,Tsuga mertensiana,Taxus brevifolia,Myrica,Ericaceae,Alnus,Alnus rubra-type,Alnus sinuata-type,Corylus,Betula,Salix,P. balsamifera-type,P. tremuloides-type,Populus undiff.,Fraxinus,Quercus,Sambucus,Acer incana,Rosaceae,Prunus,Spiraea,Amelanchier,Rubus,Potentilla,Ceanothus,Shepherdia,Eleagnus argentea-type,Rhus,Arceuthobium,Ephedra,Sarcobatus,Unknown betuloid,Other trees and shrubs,Cereal-type,Poaceae,Cyperaceae,Artemisia,Ambrosia-type,Iva ciliata-type,Iva xanthifolia-type,Bidens-type,Other Tubuliflorae,Liguliflorae,Chenopodiineae,Salsola-type,Other Ranuncula,Thalictrum,Umbelliferae,Brassicaceae,Caryophyllaceae,Other Polygonaceae,Polygonum bistortoides,Polygonum californicum-type,Eriogonum,Rumex,Onagraceae,Galium,Lamiaceae,Berberis,Scrophulariaceae-type,Saxifragaceae,Fabaceae,Liliaceae,Camassia-type,Caprifoliaceae,Plantago,Plantago-unknown,Valeriana,Phlox-type,Gilia-type,Sphaeralcea,Linum,Dodecatheon-type,Urtica-type,Other herbs,C Pteridium-type,Dryopteris-type,Lycopodium,Botrychium-type,Selaginella densa-type,Indeterminate-type,Unknown,Equisetum,Sparganium-type,Typha latifolia,Sparganium-type,Potamogeton,Myriophyllum,Ruppia,Sagittaria,Nuphar,Brasenia,Polygonum amphibium-type,Lemna,Menyanthes,Isoetes
CH071A,142,93,472,0.66,37.83,31.25,3.29,0.99,0.33,0.99,0,0,0,0,0,0,0,0,0,0.33,0.33,0,0,0,0,0.99,0,0,0.33,0,0.66,1.32,0,0,0,0,0,0,0.66,0,0,0,0,0,0.33,0,15.46,1.32,0,0,0,0,0,2.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH071A,157,100,527,0.94,40.31,27.5,0.31,0.63,0.31,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,2.81,0,0,0,0,0.31,0,0,0,0,0,0,0,0.94,0,0.31,0,0,0,0,0,20.31,0.63,0,0,0,1.25,0,3.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31,0,0,0,0,
CH071A,172,106.5,579,0.66,45.25,10.82,6.23,0.33,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,3.61,0,0,0.33,0,0.66,0,0,0,0,0,0,0,0.66,0,0.98,0,0,0,0.66,0,19.67,1.64,0,0,0,1.31,0,6.56,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,
CH071B,187,113,630,1.46,34.8,23.98,3.51,1.46,0.58,0.88,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,2.63,0,0,0.58,0,0.29,0.29,0,0,0.29,0,0,0,1.46,0,0,0,0,0,0,0,21.93,1.17,0,0,0,0.88,0,3.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH071B,202,120,683,0.88,30.99,44.15,3.8,0.88,0.29,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0,0,0.58,0,0,0.58,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,0,0.88,0,13.74,0.29,0,0,0,0.58,0,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH071B,217,127.5,739,0.66,43.89,34.65,2.64,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,1.32,0,0,0,0,0,0,0,0,0,0,0,0,1.65,0,0.66,0,0,0,0,0,9.57,0.99,0,0,0,0,0,2.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH071B,232,134.5,789,0.31,57.41,8.33,4.32,1.54,0.31,0,0,0,0,0,0,0,0,0.31,0,0,0.62,0,0,0,0,0.93,0,0,0.31,0,0,0,0,0,0,0,0,0,0.93,0,0.93,0,0,0,0,0.93,15.12,0.31,0,0,0,1.54,0,5.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,
CH071B,247,142,842,0.33,43.46,26.14,3.59,0.65,0.65,0.33,0,0,0,0,0,0,0,0,0,0,1.63,0,0,0,0,1.96,0,0,0.33,0,0.98,0.65,0,0,0.33,0,0,0,1.31,0,0,0,0,0,0.33,0,11.44,0.33,0,0,0,2.29,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH071B,262,149.5,896,0.6,48.04,32.02,3.32,0.6,0.3,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0.91,0,0,0.3,0,0.3,0,0,0,0,0,0,0,1.51,0,0.3,0,0,0,0,0,7.55,0.91,0,0,0,1.21,0,1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,
CH071B,277,157,951,0.84,44.01,22.84,4.46,0.28,0,0.28,0,0,0,0,0,0,0,0.56,0,0,0.84,0,0,0,0,3.9,0,0,0.84,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,0.28,0.28,13.65,1.95,0,0,0,1.11,0,3.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
CH071B,292,164.5,1008,0.26,49.1,26.87,7.24,1.03,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07,0,0,0.78,0,0.26,0.52,0,0,0,0,0,0,0.26,0,0.78,0,0,0,0.52,0,7.49,0.52,0,0,0,0,0,1.55,0,0,0,0,0,0,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
