cm Top_i (cm)                   ,age Top_i (yr BP)              ,char Count_i (#)               ,char Vol_i (cm3)               ,char Con_i (# cm-3)            ,char Acc_i (# cm-2 yr-1)       ,charBkg (# cm-2 yr-1)          ,char Peak (# cm-2 yr-1)        ,thresh 1 (# cm-2 yr-1)         ,thresh 2 (# cm-2 yr-1)         ,thresh 3 (# cm-2 yr-1)         ,thresh FinalPos (# cm-2 yr-1)  ,thresh FinalNeg (# cm-2 yr-1)  ,SNI (index)                    ,thresh GOF (p-val)             ,peaks 1                        ,peaks 2                        ,peaks 3                        ,peaks Final                    ,peaks Insig.                   ,peak Mag (# cm-2 peak-1)       ,smPeak Frequ (peaks 1ka-1)     ,smFRIs (yr*fire-1)             ,nFRIs (#)                      ,mFRI (yr fire-1)               ,mFRI_uCI (yr fire-1)           ,mFRI_lCI (yr fire-1)           ,WBLb (yr)                      ,WBLb_uCI (yr)                  ,WBLb_lCI (yr fire-1)           ,WBLc (unitless)                ,WBLc_uCI (unitless)            ,WBLc_lCI (unitless)            
NaN                             ,-60                            ,0                              ,0                              ,0                              ,0                              ,2.8782e-005                    ,-2.8782e-005                   ,6.8194e-006                    ,9.9044e-006                    ,1.3362e-005                    ,1.3362e-005                    ,-1.4615e-005                   ,1.198                          ,0.12048                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.8742                         ,NaN                            ,30                             ,206.3333                       ,159.5                          ,260.1667                       ,220.7386                       ,167.775                        ,280.9493                       ,1.4055                         ,1.1576                         ,1.8813                         
NaN                             ,-50                            ,6.12e-006                      ,0.1                            ,6.12e-006                      ,3.06e-007                      ,2.8383e-005                    ,-2.8077e-005                   ,6.6619e-006                    ,9.6899e-006                    ,1.3084e-005                    ,1.3084e-005                    ,-1.4377e-005                   ,1.4719                         ,0.13399                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.8643                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
6.7                             ,-40                            ,8.794e-005                     ,1                              ,8.794e-005                     ,2.902e-005                     ,2.7988e-005                    ,1.0322e-006                    ,6.5057e-006                    ,9.4772e-006                    ,1.2808e-005                    ,1.2808e-005                    ,-1.414e-005                    ,1.7515                         ,0.1972                         ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.8543                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
10                              ,-30                            ,0.00011518                     ,1                              ,0.00011518                     ,3.3978e-005                    ,2.7598e-005                    ,6.3799e-006                    ,6.3511e-006                    ,9.2665e-006                    ,1.2534e-005                    ,1.2534e-005                    ,-1.3906e-005                   ,2.0372                         ,0.22126                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.8442                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
12.95                           ,-20                            ,0.000141                       ,1                              ,0.000141                       ,3.4545e-005                    ,2.7214e-005                    ,7.3314e-006                    ,6.1979e-006                    ,9.0578e-006                    ,1.2263e-005                    ,1.2263e-005                    ,-1.3673e-005                   ,2.3291                         ,0.27269                        ,1                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.834                          ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
15.4                            ,-10                            ,0.0001392                      ,1                              ,0.0001392                      ,3.2016e-005                    ,2.6834e-005                    ,5.1819e-006                    ,6.0463e-006                    ,8.8511e-006                    ,1.1995e-005                    ,1.1995e-005                    ,-1.3442e-005                   ,2.6275                         ,0.32204                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.8237                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
17.7                            ,0                              ,0.0002044                      ,1                              ,0.0002044                      ,3.4067e-005                    ,2.646e-005                     ,7.6068e-006                    ,5.8963e-006                    ,8.6464e-006                    ,1.1729e-005                    ,1.1729e-005                    ,-1.3212e-005                   ,2.9324                         ,0.44776                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.8133                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
19.3667                         ,10                             ,0.0003012                      ,1                              ,0.0003012                      ,4.3172e-005                    ,2.6091e-005                    ,1.7081e-005                    ,5.7478e-006                    ,8.4439e-006                    ,1.1466e-005                    ,1.1466e-005                    ,-1.2984e-005                   ,3.2441                         ,0.55887                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.8028                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
20.8                            ,20                             ,0.0002518                      ,1                              ,0.0002518                      ,4.0288e-005                    ,2.5726e-005                    ,1.4562e-005                    ,5.601e-006                     ,8.2434e-006                    ,1.1205e-005                    ,1.1205e-005                    ,-1.2758e-005                   ,3.5625                         ,0.56845                        ,0                              ,1                              ,1                              ,1                              ,0                              ,9.8697e-005                    ,3.7922                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
22.4                            ,30                             ,0.0002278                      ,1                              ,0.0002278                      ,3.2651e-005                    ,2.5366e-005                    ,7.2856e-006                    ,5.4558e-006                    ,8.045e-006                     ,1.0947e-005                    ,1.0947e-005                    ,-1.2534e-005                   ,3.8877                         ,0.45239                        ,1                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.7815                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
23.8333                         ,40                             ,0.0001897                      ,1                              ,0.0001897                      ,2.719e-005                     ,2.5009e-005                    ,2.181e-006                     ,5.3122e-006                    ,7.8486e-006                    ,1.0692e-005                    ,1.0692e-005                    ,-1.2312e-005                   ,4.2196                         ,0.57622                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.7707                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
25.2667                         ,50                             ,0.0001222                      ,1                              ,0.0001222                      ,1.9959e-005                    ,2.4656e-005                    ,-4.6969e-006                   ,5.1701e-006                    ,7.6543e-006                    ,1.0439e-005                    ,1.0439e-005                    ,-1.209e-005                    ,4.5581                         ,0.70728                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.7597                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
26.9                            ,60                             ,0.0001203                      ,1                              ,0.0001203                      ,2.005e-005                     ,2.4306e-005                    ,-4.2559e-006                   ,5.0295e-006                    ,7.4619e-006                    ,1.0188e-005                    ,1.0188e-005                    ,-1.1871e-005                   ,4.9032                         ,0.77801                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.7487                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
28.5667                         ,70                             ,0.0001155                      ,1                              ,0.0001155                      ,2.0405e-005                    ,2.3958e-005                    ,-3.5526e-006                   ,4.8904e-006                    ,7.2713e-006                    ,9.9402e-006                    ,9.9402e-006                    ,-1.1653e-005                   ,5.2545                         ,0.77946                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.7376                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
30.3333                         ,80                             ,0.00010738                     ,1                              ,0.00010738                     ,1.897e-005                     ,2.3611e-005                    ,-4.6401e-006                   ,4.7526e-006                    ,7.0825e-006                    ,9.6942e-006                    ,9.6942e-006                    ,-1.1436e-005                   ,5.6119                         ,0.80873                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.7263                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
32.1                            ,90                             ,9.973e-005                     ,1                              ,9.973e-005                     ,1.6954e-005                    ,2.3264e-005                    ,-6.3104e-006                   ,4.6161e-006                    ,6.8954e-006                    ,9.4502e-006                    ,9.4502e-006                    ,-1.122e-005                    ,5.975                          ,0.77258                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.715                          ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
33.8                            ,100                            ,8.721e-005                     ,1                              ,8.721e-005                     ,1.5407e-005                    ,2.2919e-005                    ,-7.5115e-006                   ,4.4807e-006                    ,6.7096e-006                    ,9.208e-006                     ,9.208e-006                     ,-1.1006e-005                   ,6.3433                         ,0.59947                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.7036                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
35.5667                         ,110                            ,0.00011751                     ,1                              ,0.00011751                     ,1.9781e-005                    ,2.2572e-005                    ,-2.7916e-006                   ,4.3462e-006                    ,6.5251e-006                    ,8.9673e-006                    ,8.9673e-006                    ,-1.0792e-005                   ,6.7163                         ,0.87708                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.6921                         ,280.4113                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
37.25                           ,120                            ,0.00010881                     ,1                              ,0.00010881                     ,1.9042e-005                    ,2.2226e-005                    ,-3.1839e-006                   ,4.2125e-006                    ,6.3414e-006                    ,8.7277e-006                    ,8.7277e-006                    ,-1.0579e-005                   ,7.0933                         ,0.92951                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.6805                         ,281.573                        ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
39                              ,130                            ,0.0002917                      ,1                              ,0.0002917                      ,5.2506e-005                    ,2.1878e-005                    ,3.0628e-005                    ,4.0792e-006                    ,6.1583e-006                    ,8.4888e-006                    ,8.4888e-006                    ,-1.0367e-005                   ,7.4732                         ,0.93217                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.6689                         ,282.7319                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
40.8                            ,140                            ,0.0003838                      ,1                              ,0.0003838                      ,7.2922e-005                    ,2.1528e-005                    ,5.1394e-005                    ,3.9462e-006                    ,5.9755e-006                    ,8.2503e-006                    ,8.2503e-006                    ,-1.0154e-005                   ,7.8552                         ,0.89836                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.6572                         ,283.888                        ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
42.7                            ,150                            ,0.0005077                      ,1                              ,0.0005077                      ,9.9848e-005                    ,2.1177e-005                    ,7.8671e-005                    ,3.813e-006                     ,5.7927e-006                    ,8.0117e-006                    ,8.0117e-006                    ,-9.9418e-006                   ,8.238                          ,0.88565                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.6455                         ,285.0408                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
44.6667                         ,160                            ,0.0002961                      ,1                              ,0.0002961                      ,5.6259e-005                    ,2.0823e-005                    ,3.5436e-005                    ,3.6797e-006                    ,5.6096e-006                    ,7.7728e-006                    ,7.7728e-006                    ,-9.7293e-006                   ,8.6211                         ,0.87513                        ,1                              ,1                              ,1                              ,1                              ,0                              ,0.0021269                      ,3.6337                         ,286.1901                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
46.5667                         ,170                            ,0.0001115                      ,1                              ,0.0001115                      ,2.2114e-005                    ,2.0467e-005                    ,1.6469e-006                    ,3.5467e-006                    ,5.427e-006                     ,7.5346e-006                    ,7.5346e-006                    ,-9.5177e-006                   ,9.0062                         ,0.8692                         ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.6219                         ,287.3356                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
48.55                           ,180                            ,8.241e-005                     ,1                              ,8.241e-005                     ,1.6482e-005                    ,2.0108e-005                    ,-3.6262e-006                   ,3.4158e-006                    ,5.2472e-006                    ,7.3001e-006                    ,7.3001e-006                    ,-9.3091e-006                   ,9.4002                         ,0.82358                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.61                           ,288.4768                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
50.55                           ,190                            ,8.348e-005                     ,1                              ,8.348e-005                     ,1.6557e-005                    ,1.9747e-005                    ,-3.1902e-006                   ,3.2907e-006                    ,5.0751e-006                    ,7.0752e-006                    ,7.0752e-006                    ,-9.1077e-006                   ,9.8182                         ,0.82195                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.5981                         ,289.6133                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
52.5333                         ,200                            ,9.274e-005                     ,1                              ,9.274e-005                     ,1.7621e-005                    ,1.9386e-005                    ,-1.7658e-006                   ,3.209e-006                     ,4.9573e-006                    ,6.917e-006                     ,6.917e-006                     ,-8.9384e-006                   ,10.374                         ,0.96627                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.5862                         ,290.7448                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
54.4333                         ,210                            ,9.194e-005                     ,1                              ,9.194e-005                     ,1.8388e-005                    ,1.9033e-005                    ,-6.4472e-007                   ,3.1352e-006                    ,4.8493e-006                    ,6.7707e-006                    ,6.7707e-006                    ,-8.7746e-006                   ,10.9311                        ,0.82737                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.5743                         ,291.8708                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
56.4333                         ,220                            ,0.0001063                      ,1                              ,0.0001063                      ,2.0197e-005                    ,1.8701e-005                    ,1.4964e-006                    ,3.0694e-006                    ,4.7513e-006                    ,6.6366e-006                    ,6.6366e-006                    ,-8.6167e-006                   ,11.4844                        ,0.77273                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.5623                         ,292.991                        ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
58.3333                         ,230                            ,0.00010194                     ,1                              ,0.00010194                     ,1.8689e-005                    ,1.8414e-005                    ,2.7517e-007                    ,3.0116e-006                    ,4.6634e-006                    ,6.5149e-006                    ,6.5149e-006                    ,-8.4651e-006                   ,12.0294                        ,0.89892                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.5503                         ,294.1048                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
60.1667                         ,240                            ,0.0001111                      ,1                              ,0.0001111                      ,1.8702e-005                    ,1.8264e-005                    ,4.3777e-007                    ,2.9617e-006                    ,4.5855e-006                    ,6.4055e-006                    ,6.4055e-006                    ,-8.32e-006                     ,12.562                         ,0.99707                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.5383                         ,295.2118                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
61.85                           ,250                            ,9.375e-005                     ,1                              ,9.375e-005                     ,1.6406e-005                    ,1.8146e-005                    ,-1.7394e-006                   ,2.9194e-006                    ,4.5171e-006                    ,6.308e-006                     ,6.308e-006                     ,-8.1816e-006                   ,13.0794                        ,0.99024                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.5262                         ,296.3115                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
63.6                            ,260                            ,0.00011389                     ,1                              ,0.00011389                     ,1.7083e-005                    ,1.8055e-005                    ,-9.7116e-007                   ,2.8843e-006                    ,4.458e-006                     ,6.2219e-006                    ,6.2219e-006                    ,-8.05e-006                     ,13.579                         ,0.98439                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.5142                         ,297.4035                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
65.1                            ,270                            ,0.00012262                     ,1                              ,0.00012262                     ,1.9619e-005                    ,1.7987e-005                    ,1.6321e-006                    ,2.8557e-006                    ,4.4073e-006                    ,6.1464e-006                    ,6.1464e-006                    ,-7.9249e-006                   ,14.0592                        ,0.98164                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.5021                         ,298.4873                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
66.7                            ,280                            ,9.309e-005                     ,1                              ,9.309e-005                     ,1.5127e-005                    ,1.7939e-005                    ,-2.8121e-006                   ,2.833e-006                     ,4.3642e-006                    ,6.0806e-006                    ,6.0806e-006                    ,-7.8063e-006                   ,14.5185                        ,0.98429                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.49                           ,299.5625                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
68.325                          ,290                            ,0.00010331                     ,1                              ,0.00010331                     ,1.5755e-005                    ,1.787e-005                     ,-2.1156e-006                   ,2.8153e-006                    ,4.3278e-006                    ,6.0232e-006                    ,6.0232e-006                    ,-7.6936e-006                   ,14.9557                        ,0.93434                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.4778                         ,300.6285                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
69.85                           ,300                            ,0.000114                       ,1                              ,0.000114                       ,1.653e-005                     ,1.7861e-005                    ,-1.3313e-006                   ,2.8019e-006                    ,4.297e-006                     ,5.9729e-006                    ,5.9729e-006                    ,-7.5863e-006                   ,15.3695                        ,0.92387                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.4656                         ,301.685                        ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
71.3                            ,310                            ,0.00011839                     ,1                              ,0.00011839                     ,1.7758e-005                    ,1.7865e-005                    ,-1.0675e-007                   ,2.7916e-006                    ,4.2705e-006                    ,5.9281e-006                    ,5.9281e-006                    ,-7.4834e-006                   ,15.7586                        ,0.94367                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.4535                         ,302.7315                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
72.8                            ,320                            ,0.0001339                      ,1                              ,0.0001339                      ,1.8411e-005                    ,1.788e-005                     ,5.3127e-007                    ,2.7836e-006                    ,4.247e-006                     ,5.8873e-006                    ,5.8873e-006                    ,-7.384e-006                    ,16.1212                        ,0.94789                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.4412                         ,303.7675                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
74.175                          ,330                            ,0.0001334                      ,1                              ,0.0001334                      ,1.8565e-005                    ,1.7939e-005                    ,6.2633e-007                    ,2.7768e-006                    ,4.2253e-006                    ,5.8488e-006                    ,5.8488e-006                    ,-7.2871e-006                   ,16.4554                        ,0.95545                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.429                          ,304.7927                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
75.5667                         ,340                            ,0.0001182                      ,1                              ,0.0001182                      ,1.7238e-005                    ,1.7975e-005                    ,-7.3751e-007                   ,2.7704e-006                    ,4.2042e-006                    ,5.8113e-006                    ,5.8113e-006                    ,-7.1916e-006                   ,16.759                         ,0.98408                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.4167                         ,305.8067                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
77.025                          ,350                            ,0.00011997                     ,1                              ,0.00011997                     ,1.6496e-005                    ,1.8022e-005                    ,-1.5256e-006                   ,2.7637e-006                    ,4.1828e-006                    ,5.7736e-006                    ,5.7736e-006                    ,-7.0967e-006                   ,17.0298                        ,0.91455                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,3.4043                         ,306.809                        ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
