cm Top_i (cm)                   ,age Top_i (yr BP)              ,char Count_i (#)               ,char Vol_i (cm3)               ,char Con_i (# cm-3)            ,char Acc_i (# cm-2 yr-1)       ,charBkg (# cm-2 yr-1)          ,char Peak (# cm-2 yr-1)        ,thresh 1 (# cm-2 yr-1)         ,thresh 2 (# cm-2 yr-1)         ,thresh 3 (# cm-2 yr-1)         ,thresh FinalPos (# cm-2 yr-1)  ,thresh FinalNeg (# cm-2 yr-1)  ,SNI (index)                    ,thresh GOF (p-val)             ,peaks 1                        ,peaks 2                        ,peaks 3                        ,peaks Final                    ,peaks Insig.                   ,peak Mag (# cm-2 peak-1)       ,smPeak Frequ (peaks 1ka-1)     ,smFRIs (yr*fire-1)             ,nFRIs (#)                      ,mFRI (yr fire-1)               ,mFRI_uCI (yr fire-1)           ,mFRI_lCI (yr fire-1)           ,WBLb (yr)                      ,WBLb_uCI (yr)                  ,WBLb_lCI (yr fire-1)           ,WBLc (unitless)                ,WBLc_uCI (unitless)            ,WBLc_lCI (unitless)            
0.8                             ,-60                            ,0.4                            ,3                              ,0.13333                        ,0.039333                       ,0.045808                       ,-0.0064744                     ,0.032075                       ,0.063313                       ,0.098328                       ,0.098328                       ,-0.18497                       ,70.3625                        ,0.74191                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.4534                         ,NaN                            ,33                             ,121.5152                       ,91.0606                        ,151.6667                       ,127.1318                       ,94.5645                        ,160.9433                       ,1.3568                         ,1.1827                         ,1.6625                         
3.75                            ,-50                            ,0.1                            ,3                              ,0.033333                       ,0.0098333                      ,0.055728                       ,-0.045895                      ,0.048442                       ,0.085113                       ,0.12622                        ,0.12622                        ,-0.20636                       ,68.3921                        ,0.68556                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.5114                         ,NaN                            ,-999                           ,-999                           ,-999                           ,-999                           ,-999                           ,-999                           ,-999                           ,-999                           ,-999                           ,-999                           
6.7                             ,-40                            ,0.8                            ,3                              ,0.26667                        ,0.088                          ,0.065686                       ,0.022314                       ,0.064908                       ,0.10704                        ,0.15428                        ,0.15428                        ,-0.22786                       ,66.4403                        ,0.62344                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.5691                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
10                              ,-30                            ,1.1                            ,3                              ,0.36667                        ,0.10817                        ,0.075687                       ,0.03248                        ,0.08147                        ,0.1291                         ,0.1825                         ,0.1825                         ,-0.24949                       ,64.5075                        ,0.62454                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.6265                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
12.95                           ,-20                            ,0.5                            ,3                              ,0.16667                        ,0.040833                       ,0.085735                       ,-0.044902                      ,0.098123                       ,0.15128                        ,0.21087                        ,0.21087                        ,-0.27124                       ,62.5936                        ,0.62589                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.6838                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
15.4                            ,-10                            ,2.9                            ,3                              ,0.96667                        ,0.22233                        ,0.095835                       ,0.1265                         ,0.11486                        ,0.17357                        ,0.23938                        ,0.23938                        ,-0.29308                       ,60.6982                        ,0.7491                         ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.7407                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
17.7                            ,0                              ,1.8                            ,3                              ,0.6                            ,0.1                            ,0.10599                        ,-0.0059909                     ,0.13166                        ,0.19595                        ,0.26801                        ,0.26801                        ,-0.31503                       ,58.8212                        ,0.85073                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.7974                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
19.3667                         ,10                             ,3.4                            ,3                              ,1.1333                         ,0.16244                        ,0.11621                        ,0.046237                       ,0.14852                        ,0.21841                        ,0.29675                        ,0.29675                        ,-0.33706                       ,56.9621                        ,0.79315                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.8539                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
20.8                            ,20                             ,4                              ,3                              ,1.3333                         ,0.21333                        ,0.12649                        ,0.086847                       ,0.16543                        ,0.24093                        ,0.32556                        ,0.32556                        ,-0.35916                       ,55.1207                        ,0.81328                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.9101                         ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
22.4                            ,30                             ,2.8                            ,3                              ,0.93333                        ,0.13378                        ,0.13683                        ,-0.0030539                     ,0.18237                        ,0.2635                         ,0.35443                        ,0.35443                        ,-0.38131                       ,53.2962                        ,0.8992                         ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,4.9661                         ,147.1681                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
23.8333                         ,40                             ,2.2                            ,3                              ,0.73333                        ,0.10511                        ,0.14724                        ,-0.042132                      ,0.19932                        ,0.28608                        ,0.38333                        ,0.38333                        ,-0.4035                        ,51.488                         ,0.89813                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.0218                         ,146.493                        ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
25.2667                         ,50                             ,1.6                            ,3                              ,0.53333                        ,0.087111                       ,0.15772                        ,-0.070609                      ,0.21627                        ,0.30867                        ,0.41224                        ,0.41224                        ,-0.42571                       ,49.6952                        ,0.7828                         ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.0773                         ,145.8231                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
26.9                            ,60                             ,0.6                            ,3                              ,0.2                            ,0.033333                       ,0.16826                        ,-0.13493                       ,0.23321                        ,0.33125                        ,0.44113                        ,0.44113                        ,-0.44793                       ,47.9168                        ,0.78156                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.1326                         ,145.1585                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
28.5667                         ,70                             ,2.9                            ,3                              ,0.96667                        ,0.17078                        ,0.17888                        ,-0.0081006                     ,0.25012                        ,0.35379                        ,0.46998                        ,0.46998                        ,-0.47013                       ,46.1517                        ,0.78088                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.1877                         ,144.4989                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
30.3333                         ,80                             ,4.9                            ,3                              ,1.6333                         ,0.28856                        ,0.18956                        ,0.098991                       ,0.26699                        ,0.37628                        ,0.49877                        ,0.49877                        ,-0.49231                       ,44.3988                        ,0.70493                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.2426                         ,143.8444                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
32.1                            ,90                             ,3.4                            ,3                              ,1.1333                         ,0.19267                        ,0.20033                        ,-0.0076602                     ,0.28381                        ,0.3987                         ,0.52748                        ,0.52748                        ,-0.51445                       ,42.657                         ,0.6482                         ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.2973                         ,143.1948                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
33.8                            ,100                            ,4                              ,3                              ,1.3333                         ,0.23556                        ,0.21117                        ,0.024388                       ,0.30057                        ,0.42105                        ,0.5561                         ,0.5561                         ,-0.53655                       ,40.9251                        ,0.72506                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.3518                         ,142.5497                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
35.5667                         ,110                            ,7.8                            ,3                              ,2.6                            ,0.43767                        ,0.22209                        ,0.21558                        ,0.31728                        ,0.44333                        ,0.58463                        ,0.58463                        ,-0.55859                       ,39.2022                        ,0.72334                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.4062                         ,141.9091                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
37.25                           ,120                            ,2.5                            ,3                              ,0.83333                        ,0.14583                        ,0.23309                        ,-0.087255                      ,0.33393                        ,0.46555                        ,0.61308                        ,0.61308                        ,-0.58059                       ,37.487                         ,0.80712                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.4603                         ,141.2727                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
39                              ,130                            ,3.7                            ,3                              ,1.2333                         ,0.222                          ,0.24416                        ,-0.022162                      ,0.35055                        ,0.48772                        ,0.64148                        ,0.64148                        ,-0.60255                       ,35.7785                        ,0.016559                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.5143                         ,140.6404                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
40.8                            ,140                            ,19.6                           ,3                              ,6.5333                         ,1.2413                         ,0.2553                         ,0.98603                        ,0.36717                        ,0.50989                        ,0.66988                        ,0.66988                        ,-0.62452                       ,34.0761                        ,0.014526                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.5681                         ,140.012                        ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
42.7                            ,150                            ,359                            ,3                              ,119.6667                       ,23.5344                        ,0.26649                        ,23.268                         ,0.38384                        ,0.53214                        ,0.69836                        ,0.69836                        ,-0.64653                       ,32.3805                        ,0.011041                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.6218                         ,139.3873                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
44.6667                         ,160                            ,43.3                           ,3                              ,14.4333                        ,2.7423                         ,0.27771                        ,2.4646                         ,0.40066                        ,0.55457                        ,0.72708                        ,0.72708                        ,-0.66869                       ,30.6961                        ,0.11303                        ,1                              ,1                              ,1                              ,1                              ,0                              ,295.4794                       ,5.6753                         ,138.7661                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
46.5667                         ,170                            ,1.9                            ,3                              ,0.63333                        ,0.12561                        ,0.28893                        ,-0.16332                       ,0.41778                        ,0.57739                        ,0.75629                        ,0.75629                        ,-0.69117                       ,29.0364                        ,0.022689                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.7286                         ,138.1483                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
48.55                           ,180                            ,4.4                            ,3                              ,1.4667                         ,0.29333                        ,0.30011                        ,-0.0067722                     ,0.43548                        ,0.60096                        ,0.78645                        ,0.78645                        ,-0.71427                       ,27.4336                        ,0.21056                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.7817                         ,137.5336                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
50.55                           ,190                            ,1.1                            ,3                              ,0.36667                        ,0.072722                       ,0.31119                        ,-0.23847                       ,0.45412                        ,0.62576                        ,0.81814                        ,0.81814                        ,-0.73843                       ,25.9405                        ,0.21804                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.8347                         ,136.9219                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
52.5333                         ,200                            ,1.5                            ,2.3                            ,0.66667                        ,0.12667                        ,0.32215                        ,-0.19549                       ,0.47229                        ,0.65003                        ,0.84924                        ,0.84924                        ,-0.7626                        ,24.8886                        ,0.029696                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.8875                         ,136.3132                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
54.4333                         ,210                            ,3.6                            ,2.1                            ,1.68                           ,0.336                          ,0.33304                        ,0.0029625                      ,0.48998                        ,0.67368                        ,0.87959                        ,0.87959                        ,-0.78638                       ,23.9078                        ,0.053343                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.9402                         ,135.7071                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
56.4333                         ,220                            ,35.6                           ,2.2                            ,17.5667                        ,3.3377                         ,0.34365                        ,2.994                          ,0.50702                        ,0.69651                        ,0.90892                        ,0.90892                        ,-0.80962                       ,22.9906                        ,0.065405                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,5.9927                         ,135.1037                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
58.3333                         ,230                            ,31.8                           ,2.3                            ,15.5333                        ,2.8478                         ,0.35371                        ,2.4941                         ,0.5232                         ,0.71826                        ,0.93691                        ,0.93691                        ,-0.83213                       ,22.1324                        ,0.13338                        ,1                              ,1                              ,1                              ,1                              ,0                              ,40.0648                        ,6.045                          ,134.5029                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
60.1667                         ,240                            ,4.7                            ,3                              ,1.5667                         ,0.26372                        ,0.36314                        ,-0.099416                      ,0.53837                        ,0.73872                        ,0.9633                         ,0.9633                         ,-0.85372                       ,21.3298                        ,0.15037                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.0971                         ,133.9045                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
61.85                           ,250                            ,5.4                            ,3                              ,1.8                            ,0.315                          ,0.36996                        ,-0.054956                      ,0.55239                        ,0.75772                        ,0.98786                        ,0.98786                        ,-0.87423                       ,20.5784                        ,0.10834                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.149                          ,133.3085                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
63.6                            ,260                            ,3                              ,3                              ,1                              ,0.15                           ,0.37779                        ,-0.22779                       ,0.56506                        ,0.77497                        ,1.0103                         ,1.0103                         ,-0.89341                       ,19.8718                        ,0.077716                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.2007                         ,132.715                        ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
65.1                            ,270                            ,4.7                            ,3                              ,1.5667                         ,0.25067                        ,0.38514                        ,-0.13447                       ,0.57611                        ,0.79014                        ,1.03                           ,1.03                           ,-0.91098                       ,19.2032                        ,0.097783                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.2521                         ,132.1238                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
66.7                            ,280                            ,10.4                           ,3                              ,3.4667                         ,0.56333                        ,0.39197                        ,0.17137                        ,0.5853                         ,0.80291                        ,1.0468                         ,1.0468                         ,-0.92665                       ,18.5652                        ,0.068745                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.3034                         ,131.535                        ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
68.325                          ,290                            ,27.8                           ,3                              ,9.2667                         ,1.4132                         ,0.39823                        ,1.0149                         ,0.5924                         ,0.81297                        ,1.0602                         ,1.0602                         ,-0.94019                       ,17.9513                        ,0.081224                       ,1                              ,1                              ,0                              ,0                              ,0                              ,0                              ,6.3543                         ,130.9486                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
69.85                           ,300                            ,8.3                            ,3                              ,2.7667                         ,0.40117                        ,0.4039                         ,-0.0027383                     ,0.59724                        ,0.82013                        ,1.07                           ,1.07                           ,-0.95141                       ,17.3559                        ,0.099777                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.405                          ,130.3646                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
71.3                            ,310                            ,20.7                           ,3                              ,6.9                            ,1.035                          ,0.40904                        ,0.62596                        ,0.59973                        ,0.82425                        ,1.0759                         ,1.0759                         ,-0.96022                       ,16.7742                        ,0.10395                        ,1                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.4554                         ,129.7832                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
72.8                            ,320                            ,20.2                           ,3                              ,6.7333                         ,0.92583                        ,0.41368                        ,0.51215                        ,0.59986                        ,0.82531                        ,1.078                          ,1.078                          ,-0.96659                       ,16.2028                        ,0.092226                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.5054                         ,129.2044                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
74.175                          ,330                            ,2.4                            ,3                              ,0.8                            ,0.11133                        ,0.41782                        ,-0.30648                       ,0.59769                        ,0.8234                         ,1.0764                         ,1.0764                         ,-0.97056                       ,15.6392                        ,0.10252                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.5552                         ,128.6285                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
75.5667                         ,340                            ,10                             ,3                              ,3.3333                         ,0.48611                        ,0.42143                        ,0.064682                       ,0.59333                        ,0.81865                        ,1.0712                         ,1.0712                         ,-0.97222                       ,15.0814                        ,0.06607                        ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.6045                         ,128.0554                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
77.025                          ,350                            ,13                             ,3                              ,4.3333                         ,0.59583                        ,0.42452                        ,0.17131                        ,0.58695                        ,0.81128                        ,1.0627                         ,1.0627                         ,-0.97172                       ,14.5276                        ,0.064139                       ,0                              ,0                              ,0                              ,0                              ,0                              ,0                              ,6.6535                         ,127.4855                       ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            ,NaN                            
