sampleCm,calAge,calAgeUci,calAgeLci,sedAcc,sedAccUci,sedAccLci,sampleRes,sampleResUci,sampleResLci
41.9,145.62,157.5,134.06,0.192,0.246,0.155,2.61,3.22,2.03
42.4,148.3,160.71,136.25,0.194,0.252,0.156,3.1,3.86,2.38
43,151.5,164.44,138.83,0.196,0.258,0.155,2.56,3.22,1.94
43.5,154.15,167.5,140.9,0.197,0.264,0.155,2.53,3.22,1.89
44,156.78,170.44,142.93,0.199,0.271,0.155,2.52,3.23,1.84
44.5,159.39,173.49,144.81,0.2,0.279,0.155,2.5,3.22,1.79
45,161.98,176.57,146.84,0.202,0.285,0.155,1.98,2.58,1.41
45.4,164.05,179.07,148.25,0.203,0.291,0.155,2.46,3.23,1.72
45.9,166.62,182.18,150.07,0.205,0.298,0.155,2.44,3.23,1.68
46.4,169.17,185.27,151.93,0.206,0.305,0.154,2.43,3.24,1.64
46.9,171.72,188.49,153.67,0.207,0.312,0.154,2.42,3.24,1.6
47.4,174.25,191.53,155.17,0.208,0.318,0.154,2.4,3.24,1.57
47.9,176.78,194.65,156.7,0.209,0.323,0.154,1.92,2.59,1.24
48.3,178.8,197.25,158.01,0.21,0.328,0.154,2.39,3.24,1.52
48.8,181.31,200.51,159.63,0.21,0.333,0.154,2.38,3.25,1.5
49.3,183.82,203.78,161.28,0.211,0.338,0.153,2.37,3.26,1.48
49.8,186.33,207.14,162.88,0.211,0.343,0.153,2.37,3.27,1.46
50.3,188.84,210.35,164.38,0.212,0.347,0.152,2.36,3.28,1.44
50.8,191.35,213.6,166.1,0.211,0.349,0.152,1.89,2.63,1.14
51.2,193.36,216.28,167.55,0.211,0.351,0.152,2.37,3.3,1.42
51.7,195.88,219.64,169.32,0.211,0.353,0.151,2.37,3.31,1.42
52.2,198.4,222.99,170.7,0.21,0.353,0.151,2.38,3.31,1.42
52.7,200.92,226.22,171.95,0.209,0.352,0.151,2.39,3.32,1.42
53.2,203.45,229.43,173.34,0.208,0.349,0.15,2.4,3.33,1.43
53.7,206,232.68,174.79,0.208,0.348,0.15,1.92,2.67,1.15
54.1,208.04,235.4,175.97,0.207,0.345,0.15,2.41,3.34,1.45
54.6,210.6,238.75,177.62,0.206,0.341,0.15,2.43,3.34,1.47
55.1,213.18,242.1,179.18,0.204,0.337,0.15,2.45,3.34,1.48
55.6,215.77,245.35,180.55,0.203,0.332,0.149,2.47,3.35,1.51
56.1,218.38,248.51,181.91,0.201,0.327,0.149,2.49,3.35,1.53
56.6,221.01,251.68,183.61,0.199,0.322,0.149,2.01,2.69,1.24
57,223.12,254.3,185.06,0.198,0.318,0.148,2.53,3.37,1.57
57.5,225.79,257.52,186.69,0.196,0.312,0.148,2.55,3.39,1.6
58,228.47,260.8,188.27,0.194,0.309,0.147,2.58,3.41,1.62
58.5,231.18,264.23,189.89,0.192,0.304,0.146,2.6,3.43,1.64
59,233.92,267.65,191.56,0.19,0.299,0.145,2.63,3.44,1.67
59.5,236.68,271.1,193.34,0.188,0.293,0.145,2.66,3.46,1.71
60,239.47,274.55,195.17,0.185,0.289,0.144,2.7,3.48,1.73
60.5,242.28,277.8,197.05,0.183,0.283,0.143,3.27,4.2,2.12
61.1,245.7,281.76,199.43,0.181,0.275,0.142,2.77,3.52,1.82
61.6,248.58,285.05,201.58,0.178,0.268,0.142,2.8,3.53,1.86
62.1,251.49,288.35,203.63,0.177,0.263,0.141,2.83,3.55,1.9
62.6,254.43,291.65,205.69,0.175,0.259,0.14,2.86,3.58,1.93
63.1,257.4,294.98,207.83,0.173,0.254,0.138,2.89,3.61,1.97
63.6,260.4,298.24,210.02,0.171,0.249,0.137,2.92,3.65,2.01
64.1,263.43,301.63,212.26,0.169,0.244,0.136,2.96,3.68,2.05
64.6,266.48,305.02,214.56,0.168,0.24,0.135,2.98,3.71,2.09
65.1,269.57,308.43,216.95,0.165,0.236,0.134,3.63,4.48,2.54
65.7,273.3,312.56,219.9,0.164,0.232,0.133,3.06,3.76,2.16
66.2,276.44,316.02,222.33,0.162,0.229,0.132,3.09,3.78,2.19
66.7,279.61,319.48,224.72,0.16,0.225,0.131,3.12,3.81,2.22
67.2,282.81,322.95,227.02,0.159,0.221,0.13,3.15,3.85,2.27
67.7,286.03,326.43,229.52,0.157,0.216,0.129,3.18,3.88,2.31
68.2,289.28,330.03,232.12,0.156,0.214,0.128,3.21,3.91,2.34
68.7,292.55,333.72,234.67,0.155,0.211,0.127,3.23,3.94,2.37
